path,cluster,failure
/kaggle/input/datasets/jalalibrahim/tnbc-dataset/patches/TCGA-A7-A4SD/images/patch_217.png,-1,False
/kaggle/input/datasets/jalalibrahim/tnbc-dataset/patches/TCGA-A7-A4SD/images/patch_24.png,0,False
/kaggle/input/datasets/jalalibrahim/tnbc-dataset/patches/TCGA-A7-A4SD/images/patch_60.png,-1,False
/kaggle/input/datasets/jalalibrahim/tnbc-dataset/patches/TCGA-A7-A4SD/images/patch_124.png,-1,True
/kaggle/input/datasets/jalalibrahim/tnbc-dataset/patches/TCGA-A7-A4SD/images/patch_148.png,-1,False
/kaggle/input/datasets/jalalibrahim/tnbc-dataset/patches/TCGA-A7-A4SD/images/patch_10.png,0,False
/kaggle/input/datasets/jalalibrahim/tnbc-dataset/patches/TCGA-A7-A4SD/images/patch_163.png,-1,False
/kaggle/input/datasets/jalalibrahim/tnbc-dataset/patches/TCGA-A7-A4SD/images/patch_268.png,-1,False
/kaggle/input/datasets/jalalibrahim/tnbc-dataset/patches/TCGA-A7-A4SD/images/patch_267.png,-1,False
/kaggle/input/datasets/jalalibrahim/tnbc-dataset/patches/TCGA-A7-A4SD/images/patch_15.png,-1,False
/kaggle/input/datasets/jalalibrahim/tnbc-dataset/patches/TCGA-A7-A4SD/images/patch_222.png,0,False
/kaggle/input/datasets/jalalibrahim/tnbc-dataset/patches/TCGA-A7-A4SD/images/patch_272.png,-1,False
/kaggle/input/datasets/jalalibrahim/tnbc-dataset/patches/TCGA-A7-A4SD/images/patch_299.png,-1,False
/kaggle/input/datasets/jalalibrahim/tnbc-dataset/patches/TCGA-A7-A4SD/images/patch_237.png,0,False
/kaggle/input/datasets/jalalibrahim/tnbc-dataset/patches/TCGA-A7-A4SD/images/patch_243.png,-1,False
/kaggle/input/datasets/jalalibrahim/tnbc-dataset/patches/TCGA-A7-A4SD/images/patch_109.png,0,False
/kaggle/input/datasets/jalalibrahim/tnbc-dataset/patches/TCGA-A7-A4SD/images/patch_94.png,-1,False
/kaggle/input/datasets/jalalibrahim/tnbc-dataset/patches/TCGA-A7-A4SD/images/patch_256.png,0,False
/kaggle/input/datasets/jalalibrahim/tnbc-dataset/patches/TCGA-A7-A4SD/images/patch_134.png,0,False
/kaggle/input/datasets/jalalibrahim/tnbc-dataset/patches/TCGA-A7-A4SD/images/patch_207.png,-1,True
/kaggle/input/datasets/jalalibrahim/tnbc-dataset/patches/TCGA-A7-A4SD/images/patch_223.png,0,False
/kaggle/input/datasets/jalalibrahim/tnbc-dataset/patches/TCGA-A7-A4SD/images/patch_2.png,-1,False
/kaggle/input/datasets/jalalibrahim/tnbc-dataset/patches/TCGA-A7-A4SD/images/patch_195.png,-1,False
/kaggle/input/datasets/jalalibrahim/tnbc-dataset/patches/TCGA-A7-A4SD/images/patch_1.png,0,False
/kaggle/input/datasets/jalalibrahim/tnbc-dataset/patches/TCGA-A7-A4SD/images/patch_231.png,-1,False
/kaggle/input/datasets/jalalibrahim/tnbc-dataset/patches/TCGA-A7-A4SD/images/patch_259.png,-1,False
/kaggle/input/datasets/jalalibrahim/tnbc-dataset/patches/TCGA-A7-A4SD/images/patch_107.png,-1,False
/kaggle/input/datasets/jalalibrahim/tnbc-dataset/patches/TCGA-A7-A4SD/images/patch_37.png,-1,False
/kaggle/input/datasets/jalalibrahim/tnbc-dataset/patches/TCGA-A7-A4SD/images/patch_258.png,0,False
/kaggle/input/datasets/jalalibrahim/tnbc-dataset/patches/TCGA-A7-A4SD/images/patch_174.png,0,False
